progress,mean_reward
0.6825,278.2692795440529
0.685,269.73723069001323
0.6875,284.54083934632774
0.69,290.3038983470025
0.6925,285.0051096668112
0.695,275.7484795070717
0.6975,284.7498718961258
0.7,269.3905276245205
0.7025,298.1102674841326
0.705,275.39168816909813
0.7075,236.82814516473144
0.71,295.38144528147654
0.7125,273.9770725795115
0.715,287.4449979767836
0.7175,279.9511932552409
0.72,279.5075161347727
0.7225,268.69722244267706
0.725,268.3700465955177
0.7275,275.7386464659684
0.73,286.07437572515363
0.7325,283.27905781629977
0.735,231.50999522654715
0.7375,266.1722430106489
0.74,291.19418746682686
0.7425,277.10499054104565
0.745,261.3591371385939
0.7475,281.1777056619981
0.75,275.7932199643754
0.7525,284.40915328569133
0.755,281.9554656125679
0.7575,291.32849718133605
0.76,274.6209451939185
0.7625,271.2197091589675
0.765,289.7168618407801
0.7675,287.0519008983007
0.77,248.86054342263498
0.7725,288.2137974881253
0.775,276.55248301063483
0.7775,271.3003596425557
0.78,290.1722397844334
0.7825,285.52431710678604
0.785,281.38036181994266
0.7875,294.4548703699353
0.79,270.69227336274514
0.7925,279.519812838917
0.795,289.1516652062586
0.7975,290.90187974258987
0.8,275.3075247503765
0.8025,277.5540511574492
0.805,270.60600896836723
0.8075,282.08417360663225
0.81,289.1126690235063
0.8125,277.1778961503031
0.815,272.71939597091927
0.8175,285.798615480696
0.82,279.12825625357885
0.8225,283.8575596870928
0.825,272.00577864574626
0.8275,287.91567228740286
0.83,280.36918301121625
0.8325,286.5421540255647
0.835,279.0896284772337
0.8375,292.7418857562058
0.84,280.44655850417973
0.8425,265.899210902522
0.845,277.56840601039596
0.8475,280.67864417525044
0.85,295.4504698797602
0.8525,286.00558193480737
0.855,286.1135221165884
0.8575,271.3168150185814
0.86,283.75954911385895
0.8625,275.609059787319
0.865,273.78814569430625
0.8675,280.8008560699144
0.87,294.0908413916889
0.8725,281.07526472310224
0.875,281.37189227895686
0.8775,282.4106681331842
0.88,278.41414798390286
0.8825,286.04236466131215
0.885,286.7858863477777
0.8875,252.11456758208232
0.89,274.9607688862656
0.8925,279.98106885565323
0.895,279.99810261716345
0.8975,283.3206255168348
0.9,299.4263276444605
0.9025,284.4420340482133
0.905,289.63506850698235
0.9075,278.2251949637094
0.91,281.2992096101994
0.9125,291.7006074039327
0.915,287.7288232126351
0.9175,290.04828176019356
0.92,263.9248987506412
0.9225,279.8077044106193
0.925,285.8301198518414
0.9275,291.63069681430454
0.93,290.4460039027839
0.9325,285.32568873263256
0.935,283.2030450442493
0.9375,288.6530557929132
0.94,271.24757439669276
0.9425,288.6418852125354
0.945,258.13329400489187
0.9475,287.9177190530676
0.95,284.3099333187087
0.9525,276.3839112561345
0.955,278.25702703149364
0.9575,284.1747563148977
0.96,293.58909561431375
0.9625,279.2501191336406
0.965,282.54213810504723
0.9675,287.9532573394771
0.97,288.77931976410025
0.9725,293.3438544145587
0.975,277.6461235013091
0.9775,289.2789259041709
0.98,266.9107227655435
0.9825,290.29984026366185
0.985,291.15321751448295
0.9875,295.92632523360834
0.99,278.7653786328475
0.9925,281.4815426453856
0.995,283.83999927630305
0.9975,286.0373705232264
1.0,279.44538671066204
